سگمنت,سناریو,GMV پایه (۹۰ روز),سفارش‌ها (۹۰ روز),AOV,uplift_gmv_%,cost_per_order,take_rate,افزایش GMV (۹۰ روز),سهم پلتفرم از افزایش GMV,هزینه کل,خالص اثر بر پلتفرم
S1 مسیر سریع شهری / Urban Fast-Track,امیدی,917669.08,6780,118.5,6.0,0.8,0.12,55060.14,6607.22,5424.0,1183.22
S1 مسیر سریع شهری / Urban Fast-Track,بدبینانه,917669.08,6780,118.5,0.5,0.4,0.12,4588.35,550.6,2712.0,-2161.4
S1 مسیر سریع شهری / Urban Fast-Track,پایه,917669.08,6780,118.5,3.0,0.6,0.12,27530.07,3303.61,4068.0,-764.39
S2 مسیرهای پرریسک / Long-tail Risk States,امیدی,796245.39,5919,117.84,4.0,0.3,0.12,31849.82,3821.98,1775.7,2046.28
S2 مسیرهای پرریسک / Long-tail Risk States,بدبینانه,796245.39,5919,117.84,0.5,0.1,0.12,3981.23,477.75,591.9,-114.15
S2 مسیرهای پرریسک / Long-tail Risk States,پایه,796245.39,5919,117.84,2.0,0.2,0.12,15924.91,1910.99,1183.8,727.19
S3 مشتریان تکراری / Repeat Loyalists,امیدی,458087.48,1994,104.06,5.0,0.5,0.12,22904.37,2748.52,997.0,1751.52
S3 مشتریان تکراری / Repeat Loyalists,بدبینانه,458087.48,1994,104.06,0.8,0.3,0.12,3664.7,439.76,598.2,-158.44
S3 مشتریان تکراری / Repeat Loyalists,پایه,458087.48,1994,104.06,2.5,0.4,0.12,11452.19,1374.26,797.6,576.66
S4 مشتریان تازه‌وارد / Newcomers,امیدی,2325473.47,16047,144.92,3.0,0.2,0.12,69764.2,8371.7,3209.4,5162.3
S4 مشتریان تازه‌وارد / Newcomers,بدبینانه,2325473.47,16047,144.92,0.3,0.1,0.12,6976.42,837.17,1604.7,-767.53
S4 مشتریان تازه‌وارد / Newcomers,پایه,2325473.47,16047,144.92,1.5,0.15,0.12,34882.1,4185.85,2407.05,1778.8
S5 اقلام سنگین‌وزن / Heavy-Freight,امیدی,630556.26,1894,308.34,2.0,0.7,0.12,12611.13,1513.34,1325.8,187.54
S5 اقلام سنگین‌وزن / Heavy-Freight,بدبینانه,630556.26,1894,308.34,0.2,0.4,0.12,1261.11,151.33,757.6,-606.27
S5 اقلام سنگین‌وزن / Heavy-Freight,پایه,630556.26,1894,308.34,1.0,0.5,0.12,6305.56,756.67,947.0,-190.33
